Date,GLD,GLD % Change,VNQ,VNQ % Change,USO,USO % Change,KO,KO % Change,TSLA,TSLA % Change,AAPL,AAPL % Change,AGG,AGG % Change,JNK,JNK % Change,50 MA,200 MA,Min Vol % Change By Weights,1 YR,5 YR,30 YR,Signal
2020-04-29 04:00:00+00:00,161.7295,0.018447732997481037,77.0,0.011693601366443263,18.0,-0.06103286384976536,47.12,0.02680322510350841,800.51,0.023827185757405278,287.73,-0.021156731269710072,117.43,0.002818104184457937,98.81,-0.002221549025547831,0.010816061315243779,1.2716762052315231,1.231991805542444,0.17,0.37,1.18,1.0
2020-04-28 04:00:00+00:00,160.84,-0.005499924256242683,75.86,-0.014805194805194821,2.13,-0.8816666666666667,46.74,-0.00806451612903214,769.12,-0.039212502029955854,278.58,-0.031800646439370306,117.28,-0.0012773567231543215,97.16,-0.016698714704989404,-0.009196216626315179,1.2706850146280877,1.2323289171153828,0.16,0.37,1.22,0.0
2020-04-27 04:00:00+00:00,161.56,0.004476498383486627,75.24,-0.00817295017136832,2.19,0.028169014084507005,46.78,0.0008557980316645786,798.75,0.03852454753484502,283.17,0.01647641611027373,116.82,-0.00392223738062758,96.99,-0.0017496912309592494,0.0014478433717565054,1.2695998043401815,1.2326798336190625,0.17,0.34,1.17,1.0
2020-04-24 04:00:00+00:00,162.64,0.0066848229759841615,72.75,-0.03309409888357251,2.57,0.1735159817351597,45.43,-0.028858486532706284,725.15,-0.09214397496087645,282.97,-0.0007062895080692799,117.3595,0.00461821605889412,96.62,-0.0038148262707494718,-0.007541645482224536,1.2683469453995544,1.2329746366663057,0.15,0.35,1.23,0.0
2020-04-23 04:00:00+00:00,163.29,0.003996556812592367,72.44,-0.0042611683848797766,2.64,0.027237354085603238,45.07,-0.0079242791107198,705.63,-0.026918568572019574,275.03,-0.02805951160900466,117.42,0.0005155100354041764,97.26,0.006623887393914396,-0.0007180043453697728,1.2671043028461861,1.233258202078077,0.16,0.36,1.27,0.0
2020-04-22 04:00:00+00:00,161.73,-0.009553555024802485,73.05,0.008420762009939242,2.5,-0.053030303030303094,45.68,0.013534501885955175,732.11,0.03752674914615306,275.76,0.002654255899356528,117.14,-0.0023846022824050017,97.44,0.0018507094386179812,0.001782723801519607,1.266156414154768,1.2335815427434773,0.17,0.35,1.21,1.0
2020-04-21 04:00:00+00:00,158.61,-0.019291411611945697,71.95,-0.015058179329226484,2.8,0.11999999999999988,45.38,-0.006567425569176777,686.72,-0.0619988799497343,268.37,-0.026798665506237218,117.14,0.0,96.49,-0.009749589490968824,-0.010662635941077069,1.2650898862688738,1.2338675056521078,0.19,0.34,1.27,0.0
2020-04-20 04:00:00+00:00,159.7,0.006872202257108384,73.28,0.018485059068797716,3.73,0.3321428571428573,46.53,0.02534156015866018,746.36,0.08684762348555441,276.93,0.03189626262249878,117.08,-0.0005122076148198484,98.56,0.021453000310913017,0.015125322596101035,1.2644043539227419,1.234225106388887,0.25,0.42,1.41,1.0
2020-04-17 04:00:00+00:00,158.57,-0.007075767063243532,76.12,0.038755458515283836,4.2,0.126005361930295,48.06,0.03288201160541582,753.89,0.010088965110670367,282.8,0.02119669230491472,117.25,0.0014519986334131652,100.13,0.015929383116882967,0.009612592899444623,1.2641555926675405,1.234628575955555,0.27,0.44,1.39,1.0
2020-04-16 04:00:00+00:00,161.71,0.01980198019801982,73.78,-0.03074093536521283,4.36,0.03809523809523818,47.1,-0.019975031210986316,745.21,-0.011513616044780961,286.69,0.013755304101838783,117.39,0.0011940298507462366,99.61,-0.005193248776590442,-0.0005691363332736535,1.2640161230088116,1.2350344424222461,0.25,0.41,1.35,0.0
