Date,GLD,GLD % Change,VNQ,VNQ % Change,USO,USO % Change,KO,KO % Change,TSLA,TSLA % Change,AAPL,AAPL % Change,AGG,AGG % Change,JNK,JNK % Change,50 MA,200 MA,Max Sharpe % Change By Weights,Recommendation,1 YR,5 YR,30 YR,Signal
2022-05-24 04:00:00+00:00,174.13,0.006066558816732126,96.74,-0.008405084050840617,82.0,-0.005819592628516057,64.02,-0.0007803964413921616,628.16,-0.0465088038858531,140.36,-0.001138627953316207,103.61,-0.004133025759323394,95.44,-0.014965424708432318,-0.010190142014590557,1.5212138326123905,1.1410610313655964,0.0,2.09,2.88,3.08,0.0
2022-05-23 04:00:00+00:00,172.83,-0.0074656865560213115,95.93,-0.008372958445317269,81.97,-0.0003658536585365857,62.86,-0.0181193377069665,674.9,0.07440779419256249,143.11,0.019592476489028288,102.82,-0.007624746646076708,94.98,-0.004819782062028488,0.015041363748093093,1.5187532178875558,1.1439901031809219,1.0,2.07,2.8,2.99,1.0
2022-05-20 04:00:00+00:00,172.03,-0.004628826014002274,94.83,-0.011466694464713933,81.65,-0.003903867268512773,60.98,-0.02990773146675152,663.9,-0.01629871092013635,137.59,-0.03857172804136688,103.16,0.0033067496595993173,94.7,-0.0029479890503264494,-0.017741576282130137,1.5158348204033851,1.146804126783811,0.0,2.11,2.84,3.05,0.0
2022-05-19 04:00:00+00:00,171.91,-0.0006975527524268887,94.23,-0.006327111673520958,80.58,-0.013104715248009935,60.0,-0.016070842899311155,709.5,0.06868504292815181,137.35,-0.001744312813431237,102.85,-0.003005040713454865,94.79,0.0009503695881731833,0.01120809383606472,1.5136423706437905,1.1496331301713247,1.0,2.16,2.89,3.07,1.0
2022-05-18 04:00:00+00:00,169.42,-0.014484323192368143,94.65,0.004457179242279619,79.29,-0.016008935219657405,61.2,0.020000000000000018,709.81,0.00043692741367151733,140.82,0.025263924281033745,102.59,-0.0025279533300922585,94.13,-0.006962759784787553,0.003808557697789374,1.5114499962828105,1.1524614129919966,1.0,2.16,2.96,3.17,1.0
2022-05-17 04:00:00+00:00,169.33,-0.0005312241766023407,97.48,0.02989963021658748,81.11,0.022953714213646004,65.78,0.0748366013071895,761.61,0.07297727560896594,149.24,0.05979264309047028,102.18,-0.003996490886051252,94.92,0.008392648464889074,0.042637884006751225,1.5105076032033404,1.1555244313403699,1.0,2.07,2.83,3.09,1.0
2022-05-16 04:00:00+00:00,170.4,0.006319022027992727,96.17,-0.013438654082888801,83.11,0.02465787202564429,65.96,0.002736394040741663,724.37,-0.04889641680125001,145.54,-0.024792280889841978,102.74,0.005480524564493994,95.0,0.0008428150021069225,-0.012037028233428606,1.5098486807268552,1.1584961558367037,0.0,2.04,2.89,3.1,0.0
2022-05-13 04:00:00+00:00,168.79,-0.00944835680751177,96.78,0.006342934387022936,81.28,-0.02201901094934422,65.72,-0.003638568829593569,769.59,0.062426660408354984,147.09,0.010649993129036694,102.51,-0.002238660696904704,95.19,0.0020000000000000018,0.011803219582660281,1.509924945946796,1.161647882625904,1.0,1.96,2.81,3.0,1.0
2022-05-12 04:00:00+00:00,170.17,0.008175839800935947,94.29,-0.025728456292622437,79.23,-0.025221456692913313,64.51,-0.018411442483262208,728.0,-0.05404176249691395,142.56,-0.030797470936161586,102.95,0.004292264169349247,95.07,-0.0012606366214938935,-0.02085137761425855,1.510102771297599,1.164585015462845,0.0,1.99,2.89,3.05,0.0
2022-05-11 04:00:00+00:00,172.82,0.015572662631486267,93.56,-0.007742072330045646,78.18,-0.013252555850056802,64.31,-0.0031002945279802185,734.0,0.008241758241758212,146.5,0.027637485970819275,102.76,-0.0018455560951917693,95.22,0.0015777847901545794,0.009664640968140558,1.51031767392116,1.167564899252412,1.0,2.01,2.91,3.12,1.0
2022-05-10 04:00:00+00:00,171.42,-0.008100914246036317,93.76,0.0021376656690894613,74.53,-0.04668713225888976,64.01,-0.004664904369460432,800.04,0.08997275204359667,154.51,0.0546757679180887,102.38,-0.0036979369404438467,95.71,0.005145977735769636,0.02526069784092297,1.5112350968272525,1.170732379572827,1.0,1.99,2.95,3.19,1.0
2022-05-09 04:00:00+00:00,172.88,0.008517092521292735,95.5,0.01855802047781574,76.57,0.02737152824366018,64.61,0.009373535385095888,787.11,-0.016161691915404175,152.06,-0.01585657886220948,102.07,-0.003027935143582794,95.3,-0.004283773900323862,-0.0015480907475776528,1.512103123611567,1.173953103285361,0.0,2.08,3.06,3.23,0.0
2022-05-06 04:00:00+00:00,175.42,0.01469227209625168,99.9,0.04607329842931951,82.13,0.07261329502416092,64.74,0.002012072434607548,865.65,0.09978274955215904,157.28,0.03432855451795347,101.57,-0.004898599000685788,96.37,0.011227701993704153,0.03769819677177033,1.5149488074737678,1.1774162218215718,1.0,2.08,3.01,3.15,1.0
2022-05-05 04:00:00+00:00,175.13,-0.001653175236575044,101.1,0.012012012012011963,80.48,-0.020090101059296095,64.51,-0.003552672227370879,873.28,0.008814185871888203,156.77,-0.0032426246185146557,102.0,0.004233533523678279,96.9,0.005499636816436615,-0.0004922380950164726,1.5177402904692363,1.1808938363697712,0.0,2.07,2.93,3.01,0.0
2022-05-04 04:00:00+00:00,175.8,0.0038257294581169887,103.87,0.027398615232443246,80.22,-0.003230616302186906,65.03,0.00806076577274828,952.62,0.09085287651154283,166.02,0.05900363589972568,103.02,0.010000000000000009,98.68,0.01836945304437565,0.035443114291311126,1.5221146951958238,1.184673640697957,1.0,2.16,3.01,3.03,1.0
2022-05-03 04:00:00+00:00,174.09,-0.009726962457337951,102.69,-0.011360354289015162,76.69,-0.044003989030167,63.08,-0.029986160233738346,909.25,-0.04552707270475109,159.48,-0.03939284423563438,102.36,-0.006406523005241693,97.67,-0.010235103364410247,-0.029114631443667542,1.525384335672328,1.1881051489498982,0.0,2.1,3.01,3.07,0.0
2022-05-02 04:00:00+00:00,173.63,-0.002642311448101564,101.43,-0.012269938650306678,78.38,0.022036771417394574,63.44,0.005707038681039833,902.94,-0.006939785537530829,157.96,-0.00953097567093042,102.13,-0.002246971473231718,97.13,-0.005528821541926909,-0.0020037249762229004,1.528749937675189,1.1915569857708554,0.0,2.1,2.92,2.96,0.0
2022-04-29 04:00:00+00:00,176.91,0.018890744686978156,103.94,0.02474613033619244,77.16,-0.015565195202857818,64.61,0.018442622950819665,870.76,-0.03563913438323707,157.65,-0.0019625221575082508,102.87,0.007245667286791324,97.61,0.004941830536394631,-0.0007864235416760344,1.5321024451159124,1.1949156027834396,0.0,2.04,2.86,2.92,0.0
